contact_id,first_name,last_name,email,phone,company_name,website,category,location,seo_score,overall_score,recommended_service,priority,tags,sms_template,email_subject_template,email_body_template,score_reasons,source
1,Robinson,.,info@robinsongill.com.au,+61398903321,Robinson Gill Lawyers,https://www.robinsongill.com.au/,law firm,Melbourne,50,100,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Robinson, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] M...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Robinson Gill Lawyers,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),marvelus_lead_scraper
2,Nevett,.,,+61396147111,Nevett Ford Lawyers Melbourne,https://www.nevettfordlawyers.com.au/?utm_source=google&utm_medium=gmb&utm_campaign=google_business_profile,law firm,Melbourne,55,70,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone,"Hi Nevett, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Mar...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Nevett Ford Lawyers Melbourne,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
3,AJH,.,info@ajhlawyers.com.au,+61396022235,AJH LAWYERS,https://www.ajhlawyers.com.au/,law firm,Melbourne,50,30,AI Voice,low,law_firm;AI_Voice;priority_low;marvelus_lead;has_phone;has_email,"Hi AJH, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi AJH LAWYERS,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
4,Melbourne,.,admin@melbournelawoffices.com.au,+611300005786,Melbourne Law Offices,http://melbournelawoffices.com.au/,law firm,Melbourne,60,60,AI Voice,medium,law_firm;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi Melbourne, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] ...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Melbourne Law Offices,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
5,Go,.,admin@platfirm.ai,+611300636846,Go To Court Lawyers Melbourne,https://www.gotocourt.com.au/vic/melbourne-lawyers/,law firm,Melbourne,35,55,AI Voice,medium,law_firm;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi Go, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Go To Court Lawyers Melbourne,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | Low-tech website | Phone found (+10),marvelus_lead_scraper
6,Carbone,.,info@carbonelawyers.com.au,+611800369888,Carbone Lawyers Melbourne,https://www.carbonelawyers.com.au/?utm_source=gbp&utm_medium=organic&utm_campaign=melbourne,law firm,Melbourne,100,80,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Carbone, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Ma...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Carbone Lawyers Melbourne,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No booking flow | Email found (+15) | Phone found (+10) | Complete contact info (+5),marvelus_lead_scraper
7,Best,.,mail@besthooper.com.au,+61396708951,Best Hooper Lawyers,http://www.besthooper.com.au/,law firm,Melbourne,75,90,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Best, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Marvelus","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Best Hooper Lawyers,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No booking flow | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
8,Pentana,.,reception@pstanton.com.au,+61390022800,Pentana Stanton Lawyers,https://pentanastanton.com.au/,law firm,Melbourne,70,60,AI Voice,medium,law_firm;AI_Voice;priority_medium;marvelus_lead;has_phone;has_email,"Hi Pentana, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Ma...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Pentana Stanton Lawyers,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No booking flow | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
9,Weinberg,.,david@weinberglawyers.com.au,+61421966943,Weinberg Lawyers,https://www.weinberglawyers.com.au/,law firm,Melbourne,25,100,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Weinberg, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] M...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Weinberg Lawyers,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Low-tech website | Email found (+15) | Phone found (+10) | Direct owner-like email (+10) | Complete contact info (+5),marvelus_lead_scraper
10,Nevile,.,nevileco@nevile.com.au,+61396644700,Nevile & Co. Lawyers,https://www.nevile.com.au/,law firm,Melbourne,50,100,AI Voice,high,law_firm;AI_Voice;priority_high;marvelus_lead;has_phone;has_email,"Hi Nevile, I help law firm in Melbourne, VIC, Australia stop missing calls with a natural AI receptionist that books 24/7. Quick 10-min look? [Your Name] Mar...","AI receptionist for law firm in Melbourne, VIC, Australia (24/7 booking)","Hi Nevile & Co. Lawyers,\n\nI help law firm businesses in Melbourne, VIC, Australia get more bookings with a natural Australian AI receptionist that answers 24/7 and books clients straight into your calendar.\n\nWould you be open to a quick 10-min chat this week?\n\nBest,\n[Your Name]\nMarvelus",No chatbot | No click-to-call | No booking flow | Low-tech website | Phone found (+10),marvelus_lead_scraper
